,AreaName,Price ($),lat,lng
246,Old Town,320000,43.653194,-79.36863699999999
247,Leslieville,599900,43.674438,-79.322563
248,Downtown,519900,43.649609000000005,-79.403625
249,Little Italy,1098000,43.651443,-79.418373
250,Downtown,479000,43.661792999999996,-79.384506
251,Riverdale,539000,43.657416999999995,-79.349815
252,Leslieville,699000,43.66098,-79.330055
253,High Park North,995000,43.662804,-79.465935
254,Earlscourt,789000,43.676144,-79.443947
255,Old Town,369900,43.653194,-79.36863699999999
256,High Park North,749900,43.663395,-79.45800799999999
257,Upper Beaches,799900,43.686946999999996,-79.290451
258,North Toronto,1480000,43.733105,-79.39321899999999
259,Leslieville,799000,43.66235,-79.342567
260,Midtown Toronto,1099000,43.669445,-79.39225
261,Woodbine - Lumsden,899900,43.68996,-79.304413
262,Agincourt,249888,43.778614000000005,-79.281258
263,West Hill,599900,43.758068,-79.191078
264,Woburn,649000,43.779556,-79.225761
265,Lansing,1288000,43.756256,-79.41838800000001
266,Rexdale,549900,43.731327,-79.60414899999999
267,Maple Leaf,599900,43.720924,-79.483597
268,Hillcrest Village,950000,43.793015000000004,-79.361977
269,Eatonville,929000,43.648678000000004,-79.54588299999999
270,Woodbine Gardens,679900,43.700798,-79.297798
271,Emery,579900,43.745102,-79.539406
272,Highland Creek,734900,43.791893,-79.180328
273,Highland Creek,699900,43.790642,-79.176041
274,Willowdale,419800,43.761501,-79.409882
275,Don Valley Village,798000,43.773495000000004,-79.358963
276,Rexdale,349900,43.724998,-79.559105
277,Fairbank,1149000,43.693851,-79.452827
278,Kingsview Village,225000,43.695709,-79.557632
279,Long Branch,349000,43.590603,-79.544258
280,Jane and Finch,647500,43.769268,-79.526489
281,Nortown,595000,43.739478999999996,-79.42408
282,Richview,519000,43.684471,-79.565704
283,Mount Dennis,499000,43.692429,-79.498917
284,Woburn,599999,43.761688,-79.221779
285,Wexford,649000,43.747566,-79.290649
286,Scarborough Village,479000,43.743988,-79.223457
287,Bendale,649900,43.753349,-79.264595
288,Downsview,519000,43.726231,-79.514557
289,Humber Heights - Westmount,699000,43.697193,-79.52858
290,Rockcliffe - Smythe,560000,43.6833,-79.484657
291,Tam O'Shanter,499900,43.7897,-79.30526
292,Toronto,299000,43.761047,-79.410904
293,Niagara,539900,43.636963,-79.404671
294,Midtown Toronto,899000,43.673171999999994,-79.389687
295,Willowdale,457000,43.778434999999995,-79.41333
296,Willowdale,419900,43.778015,-79.416656
297,Downtown,695000,43.646873,-79.371078
298,Islington - City Centre West,589900,43.645439,-79.558334
299,Humber Heights - Westmount,439900,43.682999,-79.525726
300,Markland Wood,415900,43.639656,-79.58270999999999
301,Islington - City Centre West,345000,43.640285,-79.559464
302,Islington - City Centre West,289900,43.640285,-79.559464
303,Islington - City Centre West,359900,43.644325,-79.529732
304,Islington - City Centre West,389900,43.609261,-79.558998
305,Eringate - Centennial - West Deane,344888,43.655231,-79.570572
306,Islington - City Centre West,549900,43.640156,-79.558861
307,Islington - City Centre West,309900,43.609261,-79.558998
308,Willowdale,449800,43.757233,-79.404686
309,Midtown Toronto,529000,43.670319,-79.394432
310,Niagara,389900,43.63966,-79.41577099999999
311,Niagara,379900,43.63966,-79.41577099999999
312,Midtown Toronto,789800,43.708694,-79.394318
313,Downtown,989000,43.64613,-79.375778
314,Niagara,449900,43.639946,-79.416664
315,Midtown Toronto,359000,43.676369,-79.405739
316,Dufferin Grove,259000,43.660225,-79.428726
317,Mount Pleasant West,467000,43.711609,-79.3955
318,Midtown Toronto,599900,43.683372,-79.418686
319,Entertainment District,329900,43.640246999999995,-79.392395
320,Entertainment District,318000,43.640246999999995,-79.392395
321,Midtown Toronto,444900,43.670319,-79.394432
322,Islington - City Centre West,420000,43.643925,-79.528885
323,The Kingsway,649900,43.661209,-79.508301
324,Etobicoke West Mall,299000,43.651909,-79.569687
325,Scarborough Village,249900,43.744296999999996,-79.209541
326,Henry Farm,285000,43.769733,-79.34548199999999
327,Don Valley Village,549000,43.791603,-79.354248
328,Willowdale,400900,43.757233,-79.404686
329,St. Andrew - Windfields,529900,43.76083,-79.38720699999999
330,Clairlea - Birchmount,779000,43.705589,-79.275879
331,York Mills,354000,43.749531,-79.407188
332,Mimico,545000,43.628983000000005,-79.477852
333,Agincourt,378000,43.777565,-79.281006
334,Agincourt,383000,43.778614000000005,-79.281258
335,Willowdale,269900,43.756371,-79.408394
336,Markland Wood,424000,43.639656,-79.58270999999999
337,Highland Creek,1174900,43.791302,-79.158119
338,Humber Bay Shores,679900,43.626965000000006,-79.47848499999999
339,Newtonbrook,354990,43.778614000000005,-79.452042
340,Willowdale,368800,43.756668,-79.40862299999999
341,Islington - City Centre West,259999,43.640293,-79.559761
342,Toronto,309900,43.653225,-79.383186
343,Scarborough Village,209900,43.744811999999996,-79.214561
344,Humber Bay Shores,279999,43.626965000000006,-79.47848499999999
345,Islington - City Centre West,309900,43.609261,-79.558998
346,Willowdale,399900,43.757233,-79.404686
347,Willowdale,444000,43.757988,-79.403625
348,Eringate - Centennial - West Deane,374900,43.651314,-79.58139
349,Bendale,286000,43.773582,-79.25891899999999
350,Mimico,409900,43.62273,-79.483192
351,Tam O'Shanter,228000,43.780746,-79.30529
352,Scarborough Village,299900,43.744296999999996,-79.209541
353,Henry Farm,550000,43.774895,-79.345955
354,Englemount - Lawrence,539000,43.721115000000005,-79.430847
355,Bendale,270000,43.773689000000005,-79.255424
356,Mimico,269900,43.621063,-79.483322
357,Bayview Village,324800,43.768475,-79.38160699999999
358,Agincourt,970000,43.788311,-79.26808199999999
359,Rexdale,289900,43.724556,-79.616455
360,York University Heights,519000,43.750637,-79.465103
361,Flemingdon Park,354000,43.719494,-79.337746
362,Agincourt,268000,43.78344,-79.283562
363,Flemingdon Park,299900,43.711529,-79.32289899999999
364,The Beach,569000,43.671459000000006,-79.295059
365,East Danforth,689900,43.68047,-79.321823
366,Downtown,499000,43.641632,-79.38205
367,Cliffcrest,699900,43.734875,-79.22728000000001
368,Maple Leaf,799000,43.720276,-79.48490100000001
369,Woburn,525000,43.758507,-79.21279100000001
370,Riverdale,899000,43.675503000000006,-79.34429200000001
371,Upper Beaches,899900,43.686844,-79.29077099999999
372,Malvern,379900,43.792198,-79.232147
373,The Queensway,649900,43.628426,-79.49398000000001
374,Bayview Village,1050000,43.767426,-79.37751
375,Midtown Toronto,549000,43.707161,-79.393127
376,Downtown,374900,43.652714,-79.3563
377,Bendale,499900,43.765526,-79.253128
378,Downtown,748888,43.650040000000004,-79.373352
379,Willowdale,419900,43.760464,-79.410248
380,The Queensway,649900,43.628426,-79.49398000000001
381,Mississauga,209900,43.587418,-79.62846400000001
382,Erin Mills,129000,43.543655,-79.68306
383,Mississauga,950000,43.622925,-79.646111
384,Malton,649900,43.727546999999994,-79.643188
385,Mississauga,575000,43.564972,-79.650948
386,Dixie,629900,43.609303000000004,-79.597534
387,Mississauga,729900,43.606991,-79.615433
388,Cooksville,825000,43.563198,-79.62451899999999
389,Mississauga,950000,43.622925,-79.646111
390,Lakeview,1049700,43.601135,-79.572868
391,Mississauga,249800,43.616287,-79.664009
392,Mississauga,328888,43.590103000000006,-79.627022
393,Rexdale,195900,43.733540000000005,-79.592949
394,Downtown,649900,43.669609,-79.384773
395,Harwood,699400,43.677654,-79.473663
396,Niagara,349000,43.636963,-79.404671
397,Midtown Toronto,1299000,43.700653,-79.439201
398,Kennedy Park,628000,43.726383,-79.270432
399,Emery,569900,43.745125,-79.54053499999999
400,Richmond Hill,739000,43.864326,-79.45070600000001
401,Richmond Hill,1199888,43.925968,-79.45578
402,Maple,999990,43.845721999999995,-79.45845
403,Richmond Hill,999900,43.892128,-79.428207
404,Richmond Hill,739000,43.939240000000005,-79.442604
405,Richmond Hill,1190000,43.887221999999994,-79.39534
406,Richmond Hill,988000,43.908413,-79.43763
