,AreaName,Price ($),lat,lng,KMeans_Cluster
255,Old Town,369900,43.653194,-79.36863699999998,0
256,High Park North,749900,43.663395,-79.45800799999998,2
257,Upper Beaches,799900,43.686947,-79.290451,2
258,North Toronto,1480000,43.733105,-79.39321899999999,1
259,Leslieville,799000,43.66235,-79.342567,2
260,Midtown Toronto,1099000,43.669445,-79.39225,1
261,Woodbine - Lumsden,899900,43.68996,-79.304413,2
262,Agincourt,249888,43.77861400000001,-79.281258,0
263,West Hill,599900,43.758068,-79.191078,2
264,Woburn,649000,43.779556,-79.225761,2
265,Lansing,1288000,43.756256,-79.41838800000002,1
266,Rexdale,549900,43.731327,-79.60414899999998,2
267,Maple Leaf,599900,43.720924,-79.483597,2
268,Hillcrest Village,950000,43.793015,-79.361977,2
269,Eatonville,929000,43.648678,-79.54588299999998,2
270,Woodbine Gardens,679900,43.700798,-79.297798,2
271,Emery,579900,43.745102,-79.539406,2
272,Highland Creek,734900,43.791893,-79.180328,2
273,Highland Creek,699900,43.790642,-79.176041,2
274,Willowdale,419800,43.761501,-79.409882,0
275,Don Valley Village,798000,43.773495,-79.358963,2
276,Rexdale,349900,43.724998,-79.559105,0
277,Fairbank,1149000,43.693851,-79.452827,1
278,Kingsview Village,225000,43.695709,-79.557632,0
279,Long Branch,349000,43.590603,-79.544258,0
280,Jane and Finch,647500,43.769268,-79.526489,2
281,Nortown,595000,43.739479,-79.42408,2
282,Richview,519000,43.684471,-79.565704,0
283,Mount Dennis,499000,43.692429,-79.498917,0
284,Woburn,599999,43.761688,-79.221779,2
285,Wexford,649000,43.747566,-79.290649,2
286,Scarborough Village,479000,43.743988,-79.223457,0
287,Bendale,649900,43.753349,-79.264595,2
288,Downsview,519000,43.726231,-79.514557,0
289,Humber Heights - Westmount,699000,43.697193,-79.52858,2
290,Rockcliffe - Smythe,560000,43.6833,-79.484657,2
291,Tam O'Shanter,499900,43.7897,-79.30526,0
292,Toronto,299000,43.761047,-79.410904,0
293,Niagara,539900,43.636963,-79.404671,2
294,Midtown Toronto,899000,43.673172,-79.389687,2
295,Willowdale,457000,43.778435,-79.41333,0
296,Willowdale,419900,43.778015,-79.416656,0
297,Downtown,695000,43.646873,-79.371078,2
298,Islington - City Centre West,589900,43.645439,-79.558334,2
299,Humber Heights - Westmount,439900,43.682999,-79.525726,0
300,Markland Wood,415900,43.639656,-79.58270999999998,0
301,Islington - City Centre West,345000,43.640285,-79.559464,0
302,Islington - City Centre West,289900,43.640285,-79.559464,0
303,Islington - City Centre West,359900,43.644325,-79.529732,0
304,Islington - City Centre West,389900,43.609261,-79.558998,0
305,Eringate - Centennial - West Deane,344888,43.655231,-79.570572,0
306,Islington - City Centre West,549900,43.640156,-79.558861,2
307,Islington - City Centre West,309900,43.609261,-79.558998,0
308,Willowdale,449800,43.757233,-79.404686,0
309,Midtown Toronto,529000,43.670319,-79.394432,0
310,Niagara,389900,43.63966,-79.41577099999998,0
311,Niagara,379900,43.63966,-79.41577099999998,0
312,Midtown Toronto,789800,43.708694,-79.394318,2
313,Downtown,989000,43.64613,-79.375778,2
314,Niagara,449900,43.639946,-79.416664,0
315,Midtown Toronto,359000,43.676369,-79.405739,0
316,Dufferin Grove,259000,43.660225,-79.428726,0
317,Mount Pleasant West,467000,43.711609,-79.3955,0
318,Midtown Toronto,599900,43.683372,-79.418686,2
319,Entertainment District,329900,43.640247,-79.392395,0
320,Entertainment District,318000,43.640247,-79.392395,0
321,Midtown Toronto,444900,43.670319,-79.394432,0
322,Islington - City Centre West,420000,43.643925,-79.528885,0
323,The Kingsway,649900,43.661209,-79.508301,2
324,Etobicoke West Mall,299000,43.651909,-79.569687,0
325,Scarborough Village,249900,43.744297,-79.209541,0
326,Henry Farm,285000,43.769733,-79.34548199999998,0
327,Don Valley Village,549000,43.791603,-79.354248,2
328,Willowdale,400900,43.757233,-79.404686,0
329,St. Andrew - Windfields,529900,43.76083,-79.38720699999998,0
330,Clairlea - Birchmount,779000,43.705589,-79.275879,2
331,York Mills,354000,43.749531,-79.407188,0
332,Mimico,545000,43.62898300000001,-79.477852,2
333,Agincourt,378000,43.777565,-79.281006,0
334,Agincourt,383000,43.77861400000001,-79.281258,0
335,Willowdale,269900,43.756371,-79.408394,0
336,Markland Wood,424000,43.639656,-79.58270999999998,0
337,Highland Creek,1174900,43.791302,-79.158119,1
338,Humber Bay Shores,679900,43.62696500000001,-79.47848499999998,2
339,Newtonbrook,354990,43.77861400000001,-79.452042,0
340,Willowdale,368800,43.756668,-79.40862299999998,0
341,Islington - City Centre West,259999,43.640293,-79.559761,0
342,Toronto,309900,43.653225,-79.383186,0
343,Scarborough Village,209900,43.744812,-79.214561,0
344,Humber Bay Shores,279999,43.62696500000001,-79.47848499999998,0
345,Islington - City Centre West,309900,43.609261,-79.558998,0
346,Willowdale,399900,43.757233,-79.404686,0
347,Willowdale,444000,43.757988,-79.403625,0
348,Eringate - Centennial - West Deane,374900,43.651314,-79.58139,0
349,Bendale,286000,43.773582,-79.25891899999998,0
350,Mimico,409900,43.62273,-79.483192,0
351,Tam O'Shanter,228000,43.780746,-79.30529,0
352,Scarborough Village,299900,43.744297,-79.209541,0
353,Henry Farm,550000,43.774895,-79.345955,2
354,Englemount - Lawrence,539000,43.72111500000001,-79.430847,2
355,Bendale,270000,43.77368900000001,-79.255424,0
356,Mimico,269900,43.621063,-79.483322,0
357,Bayview Village,324800,43.768475,-79.38160699999997,0
358,Agincourt,970000,43.788311,-79.26808199999998,2
359,Rexdale,289900,43.724556,-79.616455,0
360,York University Heights,519000,43.750637,-79.465103,0
361,Flemingdon Park,354000,43.719494,-79.337746,0
362,Agincourt,268000,43.78344,-79.283562,0
363,Flemingdon Park,299900,43.711529,-79.32289899999998,0
364,The Beach,569000,43.67145900000001,-79.295059,2
365,East Danforth,689900,43.68047,-79.321823,2
366,Downtown,499000,43.641632,-79.38205,0
367,Cliffcrest,699900,43.734875,-79.22728000000002,2
